Export Code	Name	Description	Publication	DOI
fec75d8b	Figures 3a and 4	Signature 5* and mutation of ERCC2	"Kim et al., Nature Genetics 2016"	10.1038/ng.3557
a7b5b0e4	"Figures 1a, 1b, 1d, and 1f"	Signature 7 and nine recurrently mutated genes	"Trucco et al., Nature Medicine 2018"	10.1038/s41591-018-0265-6
8dcd354c	Figure 3b	Sex differences in six signatures in liver hepatocellular cancer	"Li et al., bioRxiv (preprint) 2019"	10.1101/528968
